created_at,entry_id,field1
2023-11-17 13:23:27+00:00,1,34.7
2023-11-17 14:25:19+00:00,2,33.6
2023-11-17 14:25:52+00:00,3,33.6
2023-11-17 14:26:26+00:00,4,32.6
2023-11-17 14:26:59+00:00,5,34.7
2023-11-17 14:27:53+00:00,6,35.7
2023-11-17 14:31:00+00:00,7,36.8
2023-11-17 18:26:58+00:00,8,24
2023-11-17 18:27:31+00:00,9,25.1
2023-11-17 18:28:05+00:00,10,26.2
2023-11-17 18:28:38+00:00,11,27.3
2023-11-17 18:29:11+00:00,12,28.3
2023-11-17 18:29:52+00:00,13,29.4
2023-11-17 18:30:37+00:00,14,30.4
2023-11-17 18:31:10+00:00,15,31.5
2023-11-17 18:31:43+00:00,16,32.6
2023-11-17 18:32:36+00:00,17,33.6
2023-11-17 18:33:09+00:00,18,34.7
2023-11-17 18:33:50+00:00,19,35.7
2023-11-17 18:36:41+00:00,20,36.8
2023-11-17 19:06:41+00:00,21,30.2
2023-11-17 19:36:41+00:00,22,34.9
2023-11-17 20:06:41+00:00,23,25.3
2023-11-17 20:36:41+00:00,24,29.8
2023-11-17 21:06:41+00:00,25,31.8
2023-11-17 21:36:41+00:00,26,28.9
2023-11-17 22:06:41+00:00,27,28.0
2023-11-17 22:36:41+00:00,28,31.8
2023-11-17 23:06:41+00:00,29,32.7
2023-11-17 23:36:41+00:00,30,36.6
2023-11-18 00:06:41+00:00,31,33.5
2023-11-18 00:36:41+00:00,32,32.5
2023-11-18 01:06:41+00:00,33,29.5
2023-11-18 01:36:41+00:00,34,27.9
2023-11-18 02:06:41+00:00,35,26.8
2023-11-18 02:36:41+00:00,36,33.7
2023-11-18 03:06:41+00:00,37,32.4
2023-11-18 03:36:41+00:00,38,27.0
2023-11-18 04:06:41+00:00,39,32.0
2023-11-18 04:36:41+00:00,40,26.6
2023-11-18 05:06:41+00:00,41,29.5
2023-11-18 05:36:41+00:00,42,33.1
2023-11-18 06:06:41+00:00,43,26.5
2023-11-18 06:36:41+00:00,44,26.8
2023-11-18 07:06:41+00:00,45,34.5
2023-11-18 07:36:41+00:00,46,20.3
2023-11-18 08:06:41+00:00,47,30.9
2023-11-18 08:36:41+00:00,48,37.4
2023-11-18 09:06:41+00:00,49,33.7
2023-11-18 09:36:41+00:00,50,33.8
2023-11-18 10:06:41+00:00,51,29.9
2023-11-18 10:36:41+00:00,52,26.5
2023-11-18 11:06:41+00:00,53,31.0
2023-11-18 11:36:41+00:00,54,31.5
2023-11-18 12:06:41+00:00,55,26.0
2023-11-18 12:36:41+00:00,56,32.4
2023-11-18 13:06:41+00:00,57,27.9
2023-11-18 13:36:41+00:00,58,36.7
2023-11-18 14:06:41+00:00,59,31.8
2023-11-18 14:36:41+00:00,60,30.1
2023-11-18 15:06:41+00:00,61,33.3
2023-11-18 15:36:41+00:00,62,30.1
2023-11-18 16:06:41+00:00,63,31.5
2023-11-18 16:36:41+00:00,64,31.6
2023-11-18 17:06:41+00:00,65,24.9
2023-11-18 17:36:41+00:00,66,32.1
2023-11-18 18:06:41+00:00,67,24.6
2023-11-18 18:36:41+00:00,68,36.6
2023-11-18 19:06:41+00:00,69,27.8
2023-11-18 19:36:41+00:00,70,33.0
2023-11-18 20:06:41+00:00,71,33.3
2023-11-18 20:36:41+00:00,72,30.0
2023-11-18 21:06:41+00:00,73,28.6
2023-11-18 21:36:41+00:00,74,27.7
2023-11-18 22:06:41+00:00,75,34.7
2023-11-18 22:36:41+00:00,76,31.7
2023-11-18 23:06:41+00:00,77,22.1
2023-11-18 23:36:41+00:00,78,24.8
2023-11-19 00:06:41+00:00,79,26.9
2023-11-19 00:36:41+00:00,80,24.1
2023-11-19 01:06:41+00:00,81,32.9
2023-11-19 01:36:41+00:00,82,32.5
2023-11-19 02:06:41+00:00,83,34.0
2023-11-19 02:36:41+00:00,84,34.6
2023-11-19 03:06:41+00:00,85,33.5
2023-11-19 03:36:41+00:00,86,33.5
2023-11-19 04:06:41+00:00,87,27.9
2023-11-19 04:36:41+00:00,88,26.8
2023-11-19 05:06:41+00:00,89,29.0
2023-11-19 05:36:41+00:00,90,33.9
2023-11-19 06:06:41+00:00,91,36.2
2023-11-19 06:36:41+00:00,92,35.7
2023-11-19 07:06:41+00:00,93,27.4
2023-11-19 07:36:41+00:00,94,30.8
2023-11-19 08:06:41+00:00,95,26.0
2023-11-19 08:36:41+00:00,96,34.2
2023-11-19 09:06:41+00:00,97,34.8
2023-11-19 09:36:41+00:00,98,32.2
